location,total_cases,total_deaths,population,cases_per_million
Iceland,210374.0,186.0,372903.0,564152.0717183825
India,45041748.0,533623.0,1417173120.0,31782.81281541665
Indonesia,6829399.0,162059.0,275501344.0,24788.986147377924
Iran,7627863.0,146837.0,88550568.0,86141.32209744833
Iraq,2465545.0,25375.0,44496124.0,55410.33192014657
Ireland,1745088.0,9744.0,5023108.0,347412.0006975761
Isle of Man,38008.0,116.0,84534.0,449617.90522156766
Israel,4841558.0,12707.0,9449000.0,512388.400888983
Italy,26781078.0,197307.0,59037472.0,453628.46837344253
Jamaica,157181.0,3611.0,2827382.0,55592.417296283274
Japan,33803572.0,74694.0,123951696.0,272715.6875691318
Jersey,66391.0,161.0,110796.0,599218.3833351384
Jordan,1746997.0,14122.0,11285875.0,154794.99817249438
Kazakhstan,1504370.0,19072.0,19397998.0,77552.84849498386
Kenya,344106.0,5689.0,54027484.0,6369.09170154953
Kiribati,5085.0,24.0,131237.0,38746.69491073401
Kosovo,274279.0,3212.0,1782115.0,153906.45384837678
Kuwait,667290.0,2570.0,4268886.0,156314.78563728335
Kyrgyzstan,88953.0,1024.0,6630621.0,13415.485517872306
Laos,219060.0,671.0,7529477.0,29093.654180761827
Latvia,977765.0,7475.0,1850654.0,528334.8481131536
Lebanon,1239904.0,10947.0,5489744.0,225858.2549568796
Lesotho,36138.0,709.0,2305826.0,15672.474852829313
Liberia,7930.0,294.0,5302690.0,1495.4673948505383
Libya,507269.0,6437.0,6812344.0,74463.20972634382
Liechtenstein,21588.0,89.0,39355.0,548545.2928471605
Lithuania,1369355.0,9810.0,2750058.0,497936.770788107
Low-income countries,1944334.0,43529.0,737604900.0,2636.010145811125
Lower-middle-income countries,91954400.0,1188026.0,3432097300.0,26792.48050455912
Luxembourg,393542.0,1000.0,647601.0,607692.0820072853
Madagascar,68567.0,1428.0,29611718.0,2315.536032053257
Malawi,89168.0,2686.0,20405318.0,4369.841234525235
Malaysia,5309410.0,37351.0,33938216.0,156443.40291781983
Maldives,186694.0,316.0,523798.0,356423.65950232727
Mali,33166.0,743.0,22593598.0,1467.9379530431586
Malta,122796.0,922.0,533293.0,230259.91340595135
Marshall Islands,16297.0,17.0,41593.0,391820.7390666699
Martinique,230354.0,1104.0,367512.0,626793.138727443
Mauritania,63872.0,997.0,4736146.0,13486.070741907028
Mauritius,328167.0,1073.0,1299478.0,252537.55738842825
Mayotte,42027.0,187.0,326113.0,128872.50738241037
Mexico,7619458.0,334551.0,127504120.0,59758.52388142438
Micronesia (country),31765.0,65.0,114178.0,278205.9591164673
Moldova,637520.0,12245.0,3272993.0,194781.96256453954
Monaco,17181.0,67.0,36491.0,470828.42344687734
Mongolia,1011489.0,2136.0,3398373.0,297639.19381421636
Montenegro,251280.0,2654.0,627082.0,400713.1443734631
Montserrat,1403.0,8.0,4413.0,317924.31452526624
Morocco,1279115.0,16305.0,37457976.0,34148.00094911695
Mozambique,233843.0,2252.0,32969520.0,7092.702593183037
Myanmar,642885.0,19494.0,54179312.0,11865.876037702361
Namibia,172533.0,4108.0,2567024.0,67211.29214218489
Nauru,5393.0,1.0,12691.0,424946.81270191475
Nepal,1003450.0,12031.0,30547586.0,32848.74948874848
Netherlands,8640008.0,22986.0,17564020.0,491915.1765939688
